Entity,Year,Outdoor air pollution,High systolic blood pressure,Diet low in whole grains ,Alcohol use, Diet low in fruits ,Secondhand smoke,Unsafe sex ,Diet low in nuts and seeds, Smoking,High fasting plasma glucose,Air pollution - Sex,High body-mass index,No access to handwashing facility,Drug use , Low bone mineral density ,Vitamin A deficiency , Child stunting - Sex: Both - Age: All Ages (Number), Discontinued breastfeeding,Non-exclusive breastfeeding
Guinea,2006,1891,7862,834,1405,533,1154,4712,43,3722,4422,17411,2737,6454,154,350,458,2310,63,1435
Guinea,2007,1932,8038,853,1429,552,1161,4719,41,3787,4485,17364,2830,6357,154,361,409,2187,62,1392
Guinea,2008,1949,8198,870,1445,568,1165,4712,40,3831,4545,17258,2908,6190,154,354,462,2187,58,1327
Guinea,2009,1957,8409,893,1472,588,1151,4470,39,3904,4632,16977,3011,5926,145,357,679,2351,54,1261
Guinea,2010,2035,8573,911,1506,604,1173,4228,38,3979,4719,17113,3106,5930,136,363,504,2110,54,1263
Guinea,2011,2105,8675,923,1537,616,1177,4153,38,4030,4805,17024,3183,5822,133,369,504,2074,52,1235
Guinea,2012,2189,8780,937,1580,628,1182,4186,38,4095,4914,16935,3270,5722,135,376,625,2207,51,1230
Guinea,2013,2314,8856,946,1631,638,1214,4458,38,4153,5027,17145,3357,5792,147,368,478,2049,52,1224
Guinea,2014,2413,8969,961,1691,651,1237,4767,38,4233,5153,17269,3473,5790,160,375,493,2084,51,1197
Guinea,2015,2488,9083,979,1728,663,1255,4943,39,4274,5279,17400,3576,5788,168,372,500,2102,50,1186
Guinea,2016,2503,9075,981,1776,663,1255,5045,39,4284,5332,17301,3668,5748,172,369,413,1953,51,1178
Guinea,2017,2493,9049,983,1823,661,1236,4997,39,4279,5373,16953,3751,5612,170,365,311,1719,50,1144
Guinea,2018,2547,9066,991,1844,661,1225,4833,39,4285,5444,16711,3848,5390,165,367,263,1566,46,1076
Guinea,2019,2570,8995,989,1850,653,1198,4695,39,4250,5476,16242,3910,5107,161,363,252,1442,41,996
Guinea-Bissau,1990,183,871,85,461,102,132,125,2,307,408,2253,217,1056,4,32,460,780,14,283
Guinea-Bissau,1991,186,877,86,463,102,131,145,2,295,417,2243,226,1049,4,33,449,766,13,281
Guinea-Bissau,1992,190,887,87,465,103,130,175,2,285,428,2236,236,1041,5,33,437,750,13,277
Guinea-Bissau,1993,194,896,87,468,103,129,214,2,275,439,2229,246,1033,7,34,422,734,13,273
Guinea-Bissau,1994,198,906,88,471,104,128,265,2,266,450,2225,256,1084,8,34,421,741,14,313
Guinea-Bissau,1995,201,918,90,473,105,127,330,3,258,462,2210,266,1005,11,35,393,698,12,263
Guinea-Bissau,1996,209,933,91,476,106,126,408,3,251,474,2218,278,1294,14,35,441,793,19,477
Guinea-Bissau,1997,214,947,93,479,108,125,498,3,244,486,2185,290,1214,17,35,410,746,17,427
Guinea-Bissau,1998,220,971,95,496,110,125,598,3,240,501,2161,305,952,20,51,345,634,11,241
Guinea-Bissau,1999,227,992,97,491,111,124,704,3,235,514,2152,318,936,24,36,334,614,10,235
Guinea-Bissau,2000,231,1011,99,494,113,126,813,3,230,526,2156,329,963,28,36,241,513,11,243
Guinea-Bissau,2001,235,1034,101,501,116,127,920,3,229,540,2164,340,972,33,37,227,499,11,248
Guinea-Bissau,2002,238,1064,105,511,120,128,1024,4,229,558,2170,354,972,37,37,233,505,11,251
Guinea-Bissau,2003,243,1092,108,522,123,129,1121,4,229,576,2173,368,964,40,38,242,513,11,252
Guinea-Bissau,2004,248,1132,113,540,129,131,1210,4,233,601,2183,385,953,44,39,261,532,10,250
Guinea-Bissau,2005,252,1150,116,545,132,129,1285,4,233,614,2161,395,1038,47,40,319,609,12,333
Guinea-Bissau,2006,259,1180,119,550,135,130,1322,4,234,632,2150,410,896,48,40,284,537,9,233
Guinea-Bissau,2007,273,1208,122,555,138,137,1304,4,236,651,2217,425,989,47,43,148,388,11,254
Guinea-Bissau,2008,276,1235,126,554,141,138,1243,4,237,670,2205,439,1032,45,41,138,368,13,289
Guinea-Bissau,2009,280,1266,129,561,145,139,1202,4,240,690,2178,455,917,43,47,122,317,11,220
Guinea-Bissau,2010,288,1287,132,559,147,140,1192,4,243,705,2157,467,891,43,44,105,283,11,204
Guinea-Bissau,2011,296,1309,135,561,150,139,1158,4,247,722,2125,480,852,42,43,108,272,10,186
Guinea-Bissau,2012,306,1334,138,565,153,138,1110,4,252,740,2086,495,799,41,46,147,302,9,168
Guinea-Bissau,2013,322,1355,140,568,155,141,1128,4,258,757,2093,509,820,42,44,117,265,10,166
Guinea-Bissau,2014,339,1383,144,574,159,143,1167,5,266,776,2094,526,804,44,47,114,257,10,152
Guinea-Bissau,2015,350,1415,148,578,162,143,1155,5,272,797,2077,546,762,43,46,127,264,9,137
Guinea-Bissau,2016,364,1441,150,583,165,145,1109,5,279,818,2082,565,766,42,47,100,232,9,134
Guinea-Bissau,2017,370,1465,153,587,168,145,1093,5,287,837,2061,583,737,41,47,95,219,8,124
Guinea-Bissau,2018,369,1481,155,587,170,143,1070,5,293,852,2017,598,672,41,49,99,208,7,108
Guinea-Bissau,2019,369,1506,158,591,172,143,1034,5,301,873,1998,619,643,40,47,95,197,6,101
Guyana,1990,320,1291,174,473,149,118,126,21,441,976,597,641,88,11,25,3,20,6,52
Guyana,1991,306,1216,166,451,142,112,104,19,414,943,562,619,81,11,24,3,18,6,48
Guyana,1992,300,1167,164,430,137,109,111,17,401,935,540,603,79,11,24,2,16,5,46
Guyana,1993,318,1214,175,438,144,114,154,17,413,1005,560,640,81,13,26,2,15,5,43
Guyana,1994,318,1182,175,431,141,112,175,16,402,1001,546,632,79,14,26,2,14,5,41
Guyana,1995,326,1177,178,439,143,113,196,15,406,1026,547,650,77,15,26,2,12,4,38
Guyana,1996,340,1170,181,453,144,115,255,14,408,1058,552,679,76,18,27,2,12,4,36
Guyana,1997,351,1133,178,450,141,113,213,13,398,1048,548,686,73,17,26,1,11,4,35
Guyana,1998,362,1106,174,445,138,111,228,11,387,1048,543,694,71,18,26,1,11,4,33
Guyana,1999,357,1043,166,428,131,106,256,10,366,1023,521,689,68,19,25,1,11,4,33
Guyana,2000,370,1069,173,406,137,110,302,10,374,1105,534,750,64,19,26,1,10,4,32
Guyana,2001,369,1089,175,421,137,110,370,10,374,1116,533,760,62,22,27,1,9,3,27
Guyana,2002,369,1119,181,436,142,111,377,10,380,1153,535,790,59,23,28,1,9,3,25
Guyana,2003,360,1135,184,438,144,110,341,10,377,1169,523,804,58,22,28,1,9,2,22
Guyana,2004,355,1152,188,435,147,110,324,10,380,1190,514,822,58,22,29,1,8,2,21
Guyana,2005,349,1149,188,431,147,108,308,10,377,1192,500,830,57,21,28,1,8,2,20
Guyana,2006,343,1143,187,425,146,105,286,10,372,1179,484,828,55,21,28,1,7,2,18
Guyana,2007,351,1180,191,421,149,106,273,10,379,1204,484,852,55,20,29,0,7,1,16
Guyana,2008,359,1208,194,420,152,106,250,10,382,1222,483,870,55,19,29,0,6,1,15
Guyana,2009,360,1217,193,415,151,104,231,10,379,1212,473,865,54,19,30,0,6,1,14
Guyana,2010,370,1258,197,434,154,105,228,11,387,1244,479,897,53,19,31,0,5,1,11
Guyana,2011,377,1281,198,438,154,105,239,11,388,1253,478,917,52,20,31,0,5,1,10
Guyana,2012,392,1323,202,449,156,106,247,11,395,1276,485,945,52,21,33,0,4,1,10
Guyana,2013,401,1336,202,448,154,106,224,10,393,1283,484,955,53,20,34,0,4,1,9
Guyana,2014,419,1377,206,464,157,109,225,10,402,1320,496,993,55,21,34,0,4,1,9
Guyana,2015,424,1384,206,459,158,109,221,10,403,1334,497,1014,53,21,34,0,3,1,8
Guyana,2016,422,1405,208,462,159,111,219,10,407,1355,490,1038,52,22,34,0,3,1,8
Guyana,2017,418,1432,211,468,161,113,218,10,413,1385,480,1069,51,22,35,0,3,1,7
Guyana,2018,416,1459,214,473,163,115,217,10,419,1419,475,1103,51,22,35,0,3,1,7
Guyana,2019,411,1478,216,474,164,117,214,10,423,1444,466,1129,50,22,35,0,3,1,7
Haiti,1990,779,9318,1534,2806,712,808,2449,50,2743,6479,12706,2518,4585,115,140,371,1879,183,3317
Haiti,1991,772,9282,1522,2764,735,777,3249,56,2750,6557,12448,2490,4466,142,141,359,1803,178,3259
Haiti,1992,781,9385,1531,2803,769,759,4206,62,2796,6722,12364,2513,4386,177,152,351,1746,178,3202
Haiti,1993,789,9496,1541,2959,800,741,5239,70,2845,6887,12273,2541,4286,214,313,340,1677,183,3138
Haiti,1994,800,9556,1538,2842,823,720,6276,76,2832,7011,12136,2562,4204,252,150,333,1610,194,3078
Haiti,1995,821,9614,1536,2830,841,703,7235,83,2849,7110,12054,2574,4065,289,154,311,1528,197,2918
